,genus,spp
1,Acanthorhynchus,tenuirostris
2,Accipiter,cooperii
3,Accipiter,gentilis
4,Accipiter,striatus
5,Acridotheres,tristis
6,Acrocephalus,arundinaceus
7,Acrocephalus,schoenobaenus
8,Actitis,hypoleucos
9,Actitis,macularius
10,Aechmophorus,occidentalis
11,Aegolius,acadicus
12,Aegolius,funereus
13,Aeronautes,saxatalis
14,Aethia,pusilla
15,Agapornis,fischeri
16,Agapornis,lilianae
17,Agapornis,pullarius
18,Agapornis,taranta
19,Agelaius,phoeniceus
20,Ailuroedus,crassirostris
21,Ailuroedus,melanotis
22,Aix,galericulata
23,Aix,sponsa
24,Alauda,arvensis
25,Alca,torda
26,Alcedo,atthis
27,Alectoris,chukar
28,Alisterus,scapularis
29,Alle,alle
30,Alopochen,aegyptiaca
31,Amazilia,tzacatl
32,Amazona,aestiva
33,Amazona,amazonica
34,Amazona,auropalliata
35,Amazona,ochrocephala
36,Amazona,oratrix
37,Ammodramus,savannarum
38,Amphispiza,bilineata
39,Anas,acuta
40,Anas,americana
41,Anas,clypeata
42,Anas,crecca
43,Anas,cyanoptera
44,Anas,discors
45,Anas,eatoni
46,Anas,gracilis
47,Anas,laysanensis
48,Anas,platyrhynchos
49,Anas,strepera
50,Anas,wyvilliana
51,Anhinga,melanogaster
52,Anous,stolidus
53,Anser,albifrons
54,Anser,fabalis
55,Anseranas,semipalmata
56,Anthochaera,chrysoptera
57,Anthus,novaeseelandiae
58,Anthus,trivialis
59,Aphelocoma,coerulescens
60,Aphelocoma,ultramarina
61,Aprosmictus,erythropterus
62,Aptenodytes,forsteri
63,Apus,apus
64,Aquila,audax
65,Aquila,chrysaetos
66,Aquila,fasciatus
67,Aquila,rapax
68,Ara,ararauna
69,Ara,chloropterus
70,Ara,macao
71,Aratinga,canicularis
72,Archilochus,colubris
73,Ardea,herodias
74,Arenaria,interpres
75,Asio,flammeus
76,Asio,otus
77,Athene,cunicularia
78,Athene,noctua
79,Auriparus,flaviceps
80,Aythya,affinis
81,Aythya,americana
82,Aythya,collaris
83,Aythya,valisineria
84,Baeolophus,bicolor
85,Balaeniceps,rex
86,Balearica,pavonina
87,Barnardius,zonarius
88,Bartramia,longicauda
89,Bombycilla,cedrorum
90,Bombycilla,garrulus
91,Bostrychia,hagedash
92,Botaurus,lentiginosus
93,Brachyramphus,marmoratus
94,Branta,bernicla
95,Branta,canadensis
96,Brotogeris,versicolurus
97,Bubo,bubo
98,Bubo,scandiaca
99,Bubo,virginianus
100,Bubulcus,ibis
101,Bucephala,albeola
102,Bucephala,clangula
103,Bucephala,islandica
104,Buceros,bicornis
105,Bucorvus,abyssinicus
106,Bulweria,bulwerii
107,Buteo,buteo
108,Buteo,jamaicensis
109,Buteo,lagopus
110,Buteo,lineatus
111,Buteo,platypterus
112,Buteo,regalis
113,Buteo,swainsoni
114,Buteogallus,anthracinus
115,Butorides,striata
116,Cacatua,galerita
117,Cacatua,leadbeateri
118,Cacatua,pastinator
119,Cacatua,sanguinea
120,Cacatua,sulphurea
121,Cacatua,tenuirostris
122,Calamospiza,melanocorys
123,Calcarius,lapponicus
124,Calidris,alba
125,Calidris,alpina
126,Calidris,canutus
127,Calidris,fuscicollis
128,Calidris,himantopus
129,Calidris,mauri
130,Calidris,melanotos
131,Calidris,pusilla
132,Callipepla,californica
133,Callocephalon,fimbriatum
134,Caloenas,nicobarica
135,Calonectris,diomedea
136,Calyptorhynchus,banksii
137,Calyptorhynchus,baudinii
138,Calyptorhynchus,funereus
139,Campylorhynchus,brunneicapillus
140,Caprimulgus,carolinensis
141,Caprimulgus,europaeus
142,Caprimulgus,vociferus
143,Caracara,cheriway
144,Caracara,plancus
145,Cardellina,rubrifrons
146,Cardinalis,cardinalis
147,Carduelis,carduelis
148,Carduelis,flammea
149,Carduelis,pinus
150,Carduelis,tristis
151,Carpodacus,mexicanus
152,Carpodacus,purpureus
153,Casmerodius,albus
154,Catharacta,maccormicki
155,Cathartes,aura
156,Catharus,fuscescens
157,Centrocercus,urophasianus
158,Cepphus,grylle
159,Cereopsis,novaehollandiae
160,Cerorhinca,monocerata
161,Certhia,familiaris
162,Ceryle,rudis
163,Chaetura,pelagica
164,Chamaea,fasciata
165,Charadrius,alexandrinus
166,Charadrius,melodus
167,Charadrius,ruficapillus
168,Charadrius,semipalmatus
169,Charadrius,vociferus
170,Chen,caerulescens
171,Chen,rossii
172,Chloroceryle,americana
173,Chordeiles,minor
174,Ciconia,ciconia
175,Cinclus,mexicanus
176,Circus,aeruginosus
177,Circus,cyaneus
178,Clangula,hyemalis
179,Coccothraustes,vespertinus
180,Coccyzus,americanus
181,Coccyzus,erythropthalmus
182,Coereba,flaveola
183,Colaptes,auratus
184,Colinus,virginianus
185,Colius,striatus
186,Columbina,inca
187,Columbina,passerina
188,Contopus,cooperi
189,Contopus,virens
190,Copsychus,saularis
191,Coracias,caudatus
192,Coracias,garrulus
193,Coragyps,atratus
194,Corcorax,melanorhamphos
195,Cormobates,leucophaea
196,Corvus,brachyrhynchos
197,Corvus,caurinus
198,Corvus,corax
199,Corvus,corone
200,Corvus,coronoides
201,Corvus,cryptoleucus
202,Corvus,frugilegus
203,Corvus,monedula
204,Corvus,ossifragus
205,Coturnix,chinensis
206,Crax,rubra
207,Crex,crex
208,Cuculus,canorus
209,Cyanerpes,cyaneus
210,Cyanocitta,cristata
211,Cyanocitta,stelleri
212,Cyanoramphus,auriceps
213,Cygnus,atratus
214,Cygnus,buccinator
215,Cygnus,columbianus
216,Cygnus,cygnus
217,Dacelo,novaeguineae
218,Daption,capense
219,Delichon,urbicum
220,Dendragapus,obscurus
221,Dendroica,caerulescens
222,Dendroica,coronata
223,Dendroica,petechia
224,Deroptyus,accipitrinus
225,Diopsittaca,nobilis
226,Dolichonyx,oryzivorus
227,Dryocopus,pileatus
228,Dumetella,carolinensis
229,Eclectus,roratus
230,Emberiza,hortulana
231,Empidonax,minimus
232,Empidonax,virescens
233,Eremophila,alpestris
234,Erithacus,rubecula
235,Erythrura,gouldiae
236,Eudocimus,albus
237,Eudyptula,minor
238,Euphagus,carolinus
239,Euphagus,cyanocephalus
240,Eurypyga,helias
241,Falco,berigora
242,Falco,columbarius
243,Falco,eleonorae
244,Falco,longipennis
245,Falco,mexicanus
246,Falco,naumanni
247,Falco,peregrinus
248,Falco,sparverius
249,Falco,subbuteo
250,Falco,tinnunculus
251,Falco,vespertinus
252,Ficedula,albicollis
253,Forpus,passerinus
254,Fratercula,arctica
255,Fratercula,corniculata
256,Fregata,minor
257,Fringilla,coelebs
258,Fulica,americana
259,Fulica,atra
260,Fulmarus,glacialis
261,Fulmarus,glacialoides
262,Galerida,cristata
263,Gallinago,gallinago
264,Gallinula,chloropus
265,Gavia,immer
266,Gavia,stellata
267,Geococcyx,californianus
268,Geopelia,placida
269,Geothlypis,trichas
270,Glaucidium,passerinum
271,Glossopsitta,concinna
272,Glossopsitta,porphyrocephala
273,Grus,antigone
274,Grus,canadensis
275,Grus,rubicunda
276,Grus,virgo
277,Gygis,alba
278,Gymnorhina,tibicen
279,Gymnorhinus,cyanocephalus
280,Gypohierax,angolensis
281,Gyps,africanus
282,Haematopus,bachmani
283,Haematopus,longirostris
284,Haematopus,ostralegus
285,Haematopus,palliatus
286,Haliaeetus,leucocephalus
287,Haliaeetus,leucogaster
288,Haliaeetus,vocifer
289,Haliastur,sphenurus
290,Helmitheros,vermivorum
291,Hieraaetus,morphnoides
292,Himantopus,mexicanus
293,Himatione,sanguinea
294,Hippolais,icterina
295,Hirundo,neoxena
296,Hirundo,rustica
297,Histrionicus,histrionicus
298,Hylocichla,mustelina
299,Icteria,virens
300,Icterus,galbula
301,Icterus,spurius
302,Ictinia,mississippiensis
303,Ixobrychus,minutus
304,Junco,hyemalis
305,Jynx,torquilla
306,Kaupifalco,monogrammicus
307,Lagonosticta,senegala
308,Lagopus,lagopus
309,Lanius,collurio
310,Lanius,cristatus
311,Lanius,ludovicianus
312,Lanius,senator
313,Larus,argentatus
314,Larus,atricilla
315,Larus,californicus
316,Larus,canus
317,Larus,dominicanus
318,Larus,fuscus
319,Larus,glaucescens
320,Larus,minutus
321,Larus,novaehollandiae
322,Larus,pipixcan
323,Larus,ridibundus
324,Larus,thayeri
325,Leiothrix,lutea
326,Lepidocolaptes,affinis
327,Leptoptilos,crumeniferus
328,Leptotila,verreauxi
329,Leucosarcia,melanoleuca
330,Leucosticte,arctoa
331,Lichenostomus,chrysops
332,Lichenostomus,flavescens
333,Lichenostomus,melanops
334,Lichenostomus,ornatus
335,Lichenostomus,penicillatus
336,Lichenostomus,virescens
337,Limnothlypis,swainsonii
338,Limosa,lapponica
339,Locustella,luscinioides
340,Loriculus,philippensis
341,Loxia,curvirostra
342,Loxia,leucoptera
343,Luscinia,megarhynchos
344,Macronectes,giganteus
345,Malurus,cyaneus
346,Manorina,flavigula
347,Manorina,melanocephala
348,Megascops,asio
349,Melanerpes,carolinus
350,Melanerpes,erythrocephalus
351,Melanerpes,formicivorus
352,Melanitta,fusca
353,Melanitta,nigra
354,Meleagris,gallopavo
355,Meliphaga,lewinii
356,Meliphaga,notata
357,Melithreptus,lunatus
358,Melopsittacus,undulatus
359,Melospiza,georgiana
360,Mergus,merganser
361,Mergus,serrator
362,Merops,apiaster
363,Micrathene,whitneyi
364,Milvus,migrans
365,Mimus,polyglottos
366,Mniotilta,varia
367,Molothrus,ater
368,Momotus,momota
369,Morus,serrator
370,Motacilla,alba
371,Motacilla,flava
372,Muscicapa,striata
373,Mycteria,americana
374,Myiarchus,cinerascens
375,Myiarchus,tyrannulus
376,Myioborus,pictus
377,Nectarinia,jugularis
378,Nectarinia,violacea
379,Neophema,chrysostoma
380,Neophema,pulchella
381,Neophema,splendida
382,Neopsephotus,bourkii
383,Nestor,notabilis
384,Netta,rufina
385,Ninox,boobook
386,Ninox,novaeseelandiae
387,Northiella,haematogaster
388,Nothura,maculosa
389,Numenius,americanus
390,Numenius,phaeopus
391,Nyctanassa,violacea
392,Nycticorax,nycticorax
393,Nymphicus,hollandicus
394,Oceanodroma,leucorhoa
395,Ocyphaps,lophotes
396,Oenanthe,oenanthe
397,Otus,scops
398,Oxyura,jamaicensis
399,Pachyptila,turtur
400,Padda,oryzivora
401,Pagodroma,nivea
402,Pandion,haliaetus
403,Parabuteo,unicinctus
404,Parula,americana
405,Parus,atricapillus
406,Parus,carolinensis
407,Parus,gambeli
408,Parus,hudsonicus
409,Passer,domesticus
410,Passer,hispaniolensis
411,Passerculus,sandwichensis
412,Passerina,cyanea
413,Patagioenas,fasciata
414,Patagioenas,leucocephala
415,Pavo,cristatus
416,Pelecanoides,urinatrix
417,Pelecanus,conspicillatus
418,Pelecanus,erythrorhynchos
419,Perisoreus,canadensis
420,Petrochelidon,fulva
421,Phaethon,rubricauda
422,Phalacrocorax,africanus
423,Phalacrocorax,atriceps
424,Phalacrocorax,carbo
425,Phalacrocorax,varius
426,Phalaropus,fulicarius
427,Phalaropus,lobatus
428,Phasianus,colchicus
429,Pheucticus,ludovicianus
430,Philemon,corniculatus
431,Philomachus,pugnax
432,Phoebastria,nigripes
433,Phoebetria,palpebrata
434,Phoenicopterus,roseus
435,Phoenicopterus,ruber
436,Phoenicurus,phoenicurus
437,Phylidonyris,novaehollandiae
438,Phylloscopus,sibilatrix
439,Pica,pica
440,Picoides,arcticus
441,Picoides,borealis
442,Picoides,pubescens
443,Picoides,tridactylus
444,Picoides,villosus
445,Picus,canus
446,Pinicola,enucleator
447,Pionus,menstruus
448,Pipilo,erythrophthalmus
449,Piranga,ludoviciana
450,Piranga,rubra
451,Platalea,alba
452,Platalea,flavipes
453,Platalea,regia
454,Platycercus,elegans
455,Platycercus,eximius
456,Platycercus,icterotis
457,Platycercus,venustus
458,Plectrophenax,nivalis
459,Plectropterus,gambensis
460,Plegadis,chihi
461,Plegadis,falcinellus
462,Ploceus,cucullatus
463,Pluvialis,apricaria
464,Pluvialis,dominica
465,Pluvialis,fulva
466,Pluvialis,squatarola
467,Podiceps,auritus
468,Podiceps,cristatus
469,Podiceps,grisegena
470,Podiceps,nigricollis
471,Poicephalus,meyeri
472,Poicephalus,senegalus
473,Polihierax,semitorquatus
474,Polioptila,caerulea
475,Polysticta,stelleri
476,Polytelis,alexandrae
477,Polytelis,anthopeplus
478,Polytelis,swainsonii
479,Pomatostomus,temporalis
480,Pooecetes,gramineus
481,Porphyrio,porphyrio
482,Probosciger,aterrimus
483,Procellaria,aequinoctialis
484,Progne,subis
485,Protonotaria,citrea
486,Prunella,modularis
487,Psaltriparus,minimus
488,Psephotus,dissimilis
489,Psephotus,haematonotus
490,Psephotus,varius
491,Psittacula,cyanocephala
492,Psittacula,eupatria
493,Psittacula,krameri
494,Psittacus,erithacus
495,Pterodroma,leucoptera
496,Pterodroma,macroptera
497,Ptilonorhynchus,violaceus
498,Ptychoramphus,aleuticus
499,Puffinus,griseus
500,Puffinus,pacificus
501,Puffinus,tenuirostris
502,Purpureicephalus,spurius
503,Pycnonotus,jocosus
504,Pygoscelis,adeliae
505,Pyrocephalus,rubinus
506,Pyrrhocorax,pyrrhocorax
507,Quiscalus,major
508,Quiscalus,mexicanus
509,Quiscalus,quiscula
510,Rallus,aquaticus
511,Rallus,longirostris
512,Recurvirostra,americana
513,Recurvirostra,avosetta
514,Regulus,calendula
515,Regulus,satrapa
516,Riparia,riparia
517,Rissa,tridactyla
518,Rostrhamus,sociabilis
519,Rynchops,niger
520,Sagittarius,serpentarius
521,Sarcoramphus,papa
522,Saxicola,torquatus
523,Sayornis,nigricans
524,Sayornis,phoebe
525,Sayornis,saya
526,Scolopax,minor
527,Seiurus,aurocapilla
528,Selasphorus,rufus
529,Sericornis,frontalis
530,Sericulus,chrysocephalus
531,Setophaga,ruticilla
532,Sialia,mexicana
533,Sialia,sialis
534,Sitta,canadensis
535,Sitta,carolinensis
536,Sitta,pygmaea
537,Somateria,mollissima
538,Somateria,spectabilis
539,Spheniscus,humboldti
540,Sphyrapicus,nuchalis
541,Sphyrapicus,varius
542,Spiza,americana
543,Spizella,arborea
544,Stelgidopteryx,ruficollis
545,Stephanoaetus,coronatus
546,Stercorarius,parasiticus
547,Sterna,albifrons
548,Sterna,bergii
549,Sterna,caspia
550,Sterna,fuscata
551,Sterna,hirundo
552,Sterna,maxima
553,Stigmatopelia,chinensis
554,Stigmatopelia,senegalensis
555,Strepera,graculina
556,Streptopelia,turtur
557,Strigops,habroptila
558,Strix,aluco
559,Strix,nebulosa
560,Strix,uralensis
561,Strix,varia
562,Struthidea,cinerea
563,Sturnella,neglecta
564,Sturnus,vulgaris
565,Sula,leucogaster
566,Surnia,ulula
567,Sylvia,atricapilla
568,Sylvia,borin
569,Tachycineta,bicolor
570,Tachycineta,thalassina
571,Tadorna,tadorna
572,Tadorna,tadornoides
573,Tadorna,variegata
574,Taeniopygia,guttata
575,Terathopius,ecaudatus
576,Thalassarche,cauta
577,Thalassarche,chrysostoma
578,Thalassarche,melanophrys
579,Thraupis,episcopus
580,Threskiornis,aethiopicus
581,Threskiornis,molucca
582,Threskiornis,spinicollis
583,Thryomanes,bewickii
584,Thryothorus,ludovicianus
585,Todiramphus,sanctus
586,Todus,mexicanus
587,Toxostoma,curvirostre
588,Toxostoma,rufum
589,Trichoglossus,haematodus
590,Tringa,flavipes
591,Tringa,glareola
592,Tringa,nebularia
593,Troglodytes,aedon
594,Turdus,merula
595,Turdus,migratorius
596,Turdus,philomelos
597,Tyrannus,tyrannus
598,Tyrannus,verticalis
599,Tyto,alba
600,Upupa,epops
601,Uria,aalge
602,Uria,lomvia
603,Vanellus,armatus
604,Vanellus,vanellus
605,Vermivora,peregrina
606,Vireo,griseus
607,Vireo,olivaceus
608,Vultur,gryphus
609,Wilsonia,citrina
610,Xanthocephalus,xanthocephalus
611,Xema,sabini
612,Xenus,cinereus
613,Zenaida,asiatica
614,Zenaida,aurita
615,Zenaida,macroura
616,Zonotrichia,albicollis
617,Zonotrichia,leucophrys
618,Zoothera,naevia
619,Zosterops,japonicus
620,Zosterops,lateralis
621,,
622,,
623,,
624,,
625,,
626,,
